"latitude","longitude"
33.5833,130.4
-1.2833,36.8167
-39.8,-73.2333
30.0041,-95.2984
40.3357,-75.9269
46.7671,-113.9762
40.4024,-3.6924
30.011,120.5715
49.0119,24.3731
25.2582,55.3047
34.1081,-118.2287
54.1936,16.1849
-27.471,153.0243
53.1667,63.5833
35.8059,-78.7997
53.3331,-6.2489
23.35,85.3333
45.6788,-74.4059
37.4192,-122.0574
50.0833,19.9167
28.6667,77.4333
40.4086,-3.6922
38.0663,-122.5416
51.5304,-0.1702
22.5892,88.3103
39.5097,116.6947
49.594,17.2512
29.2833,77.7167
43.2167,27.9167
52.1893,4.4089
36.1429,49.4728
-22.9,-47.0833
38.1833,127.8167
32.7732,-96.6851
45.15,26.8333
2.7867,101.9953
43.801,87.6005
49.7423,129.676
53.3,141.4667
29.6997,-91.0655
49.853,-97.0998
37.9667,23.65
38.3379,43.1831
15.5512,120.8147
52.3118,6.9297
32.4886,-93.7294
49.6765,-112.8035
41,20
54.7818,32.0401
32.7791,-96.8028
39.0503,-76.8249
57.6198,39.8554
43.25,76.95
41.85,-87.65
40.1561,-3.6165
21.4267,39.8261
29.6836,-95.2565
40.0486,-83.0726
30.05,31.25
-16.6667,-49.2667
32.9299,-96.8353
-34.5309,-58.5201
44,21
5.7167,100.4167
28.5311,-80.8523
28.4807,-81.5518
47.2,23.05
42.6526,-73.7562
49.25,-122.95
54.1667,25
3.0833,101.5333
26.0222,-80.1496
53,-8
45.3539,40.4105
40.8333,14.25
9,-80
41.005,39.7269
48.4578,-89.1885
56.8519,60.6122
33.7818,-117.3317
33.2381,131.6125
33.7257,-84.4309
42.7618,-71.4119
29.7523,-95.367
48.2678,10.846
36.5667,114.5333
39.4793,-76.7981
-18.9167,47.5167
44.2072,-86.1957
51.5126,-0.5891
22.5697,88.3697
49.2814,-123.12
56.6059,57.7669
28.57,77.32
41.2867,36.33
37.7749,-122.4194
45.7788,-119.529
37.4135,-122.1312
24.9869,121.3056
36.0986,120.3719
53.7079,16.6994
7.75,-80.2333
34.1359,-118.2632
32.9722,-96.7376
38.6471,-121.5418
16.7833,96.1667
48.5132,32.2597
-18.1333,178.4167
-12.05,-77.05
31.1296,-97.3595
53,28
38.6989,116.0936
55.7458,38.1314
50.4333,30.5167
54.5,18.55
32.949,-96.4345
32.7877,-96.8
41.9333,25.9
16.0435,120.3397
32.8594,-117.2073
37.5331,-122.2471
52.5931,19.0894
41.025,29.0328
40.6403,22.9439
41.3341,-73.6102
37.3501,-121.9854
42.3751,-71.1056
42.2776,-83.7409
47,20
52.7487,4.7771
41.0387,-92.3579
13.7567,121.0584
52.0938,5.1191
29.4241,-98.4936
39.9643,-75.1444
48.6667,19.5
-8.05,-34.9
42.7592,-83.4111
-38.3739,-60.2798
8,-2
44.9,8.8667
35.3512,-86.1838
35.8703,128.5911
51.2117,6.807
38.625,34.7122
25.8124,-80.2401
34.1544,-117.7637
-31.9522,115.8614
40.6888,-74.0203
45.4667,9.2
44,18
39.0837,-84.5085
48.6333,2.4667
52.1763,4.5282
53.5568,8.1266
51.8333,-2.25
49.5372,8.355
37.3762,-122.1826
39.7157,-75.5281
44.9843,-93.2654
33.0333,76.45
40.9919,-72.1989
37.1702,-93.3297
41.5584,-81.4756
39.6237,-104.8738
47.3333,13.3333
36.8736,-86.8749
41.5839,-93.6289
36.1853,117.12
20.85,85.1
28.6185,-81.4336
37.7731,-121.7515
39.9612,-82.9988
34.0008,-117.1266
2.5,112.5
46.25,20.1667
27.1833,78.0167
-35.276,149.1344
38.9499,-94.7453
14.9716,102.0825
-27.6333,-48.6667
40.9513,-73.8773
43.5411,-5.6644
6.4531,3.3958
39.7265,-94.7322
49.2814,16.5648
43.2767,26.9292
-15.7833,-47.9167
50.2077,15.8295
55.3635,37.5298
57.9,16.4
32.2988,-90.1848
23.7231,90.4086
37.7858,-122.1232
