bitly.link.id	ts	click.count	long.url
LVozuS	2014-01-25 19:00:09	0	http://swlpwqx.serveftp.com/rfldiyyediczc6lilusfmrsoirck1umnkbk5y6rtuc
LVozuQ	2014-01-25 19:00:09	0	http://swlpwqx.serveftp.com/w61pjzpdhyxzq0hye9yj3ien2epc373
LVowiX	2014-01-25 19:00:09	60	http://swlpwqx.serveftp.com/ru8bkzs8zz6v3fzrkq1vjhmhgnjhevhc4ec6vwlxevtl1icd
LVozuV	2014-01-25 19:00:12	1	http://swlpwqx.serveftp.com/xgyolyql7riz8r2f6jmrctnfxr2ge9
LVozev	2014-01-25 19:00:08	0	http://swlpwqx.serveftp.com/fhmor8qydq4azca7vghotupfcof0tdb
LVowiT	2014-01-25 19:00:08	1	http://swlpwqx.serveftp.com/zkv9nfiqk8dslrdbovpy8qfzsbwin6uzsu0ax0b7
LVowiM	2014-01-25 19:00:10	10	http://swlpwqx.serveftp.com/co3uihjjwz43qhzggmjactqzk7vjv1vspcehkmxr
LVozez	2014-01-25 19:00:09	1	http://swlpwqx.serveftp.com/fqskkzdd4bpfnv9gudg9esz0sfuafxcayiffksgzz
LVozer	2014-01-25 19:00:08	5	http://swlpwqx.serveftp.com/duwjzt0wahsbmel1scds6s4wjrrrbtg
LVow2p	2014-01-25 19:00:07	42	http://swlpwqx.serveftp.com/0lbuz4ufjgaxa3h1lyi3datklhgbtgsh6bsk3jrfxueer96
LVozem	2014-01-25 19:00:07	17	http://swlpwqx.serveftp.com/kvs7urzpzod7hpzooirbzqbslybysej
LVoyY7	2014-01-25 19:00:07	5	http://swlpwqx.serveftp.com/h6zeuvflrbsvzltffk9vqrqg8120aqtrtx3zn1lyw
LVovLV	2014-01-25 19:00:07	14	http://swlpwqx.serveftp.com/mfsza6iztwzpfqvdf3qhkgpazgpxjdd9rvjeiq
LVoyXP	2014-01-25 19:00:07	0	http://swlpwqx.serveftp.com/0rnnxzxp9rhnkusitytfzfz2pj3hz0dqh92tiliptv8f
LVoyXX	2014-01-25 19:00:06	2	http://swlpwqx.serveftp.com/bx10w0m10vziakzzvdlqvrnpijbajgdvo98s
LVoyY3	2014-01-25 19:00:06	18	http://swlpwqx.serveftp.com/3vj56mwx3fsnkvbhzjchauikbhaejimqvqggdkzua
LVoyHr	2014-01-25 19:00:05	0	http://swlpwqx.serveftp.com/h8kgoqjt0klpxwj7kjjz6vr1oab42xxiadrpn8a
