===================================================================
Unique no-ip 3rd level domains used in the Darkleech attack
during the periods reflected  in the following three datasets
http://pastebin.com/nKMa9wTW
http://pastebin.com/PXrYpPbF
http://pastebin.com/G49Phd78
 
Check http://blog.sucuri.net/ for details

Format: # of unique iframe URL per sumdomain, subdomain
===================================================================

58:        osjonixuym.serveftp.com
58:        nwhrergu.serveftp.com
58:        ockoiljfkt.myftp.biz
58:        hsxnhczion.myftp.biz
58:        mmpulnjsox.myftp.org
58:        ollrqc.serveftp.com
58:        ugyoul.myftp.biz
58:        csomxbuov.myftp.org
58:        mchfgf.myftp.biz
58:        wkwdvd.serveftp.com
58:        ftptfod.myftp.org
58:        vwjonqf.serveftp.com
58:        bnuxxrxv.serveftp.com
58:        khfglotzmb.myftp.biz
58:        jktokphy.myftp.biz
58:        zaxexrvp.myftp.org
58:        ezgqzywyyf.myftp.biz
58:        xmgytugwu.myftp.org
58:        uhqwqczac.myftp.biz
58:        vtauhqlo.serveftp.com
54:        wgatwx.myftp.org
49:        uuzkpb.myftp.biz
20:        ltzzakx.serveftp.com
12:        oidwxc.serveftp.com
